,publishedAt,author,comment
130,2025-07-01T22:42:57Z,@DaenaBate,Seret juga itu jokowi tangkap joko wi adili dia
131,2025-07-01T22:17:11Z,@issicell9652,H U K U M   M E M A N G   H A R U S   B E R J A L A N   M A N T A P   T A N P A   A D A   S E S U A T U   Y A N G   M E M O R T A L N Y A ... 🙏🙏🙏
132,2025-07-01T22:06:06Z,@BahariPw-qj9bk,Jika sy menilai bhw ucapan Tom Lembong hrs bisa dibuktikan dgn alat uji yg mutakhir ....untuk membuktikan benar atau tidaknya ucapannya tsb.....krn menurutku Tom lembong akan cari aman dgn cara menyebut Nama Jokowi......
133,2025-07-01T22:01:05Z,@dedykhaerudin298,Seret Jokowi ke penjara
134,2025-07-01T21:57:45Z,@HartoyoHartoyo-y6y,Memng jokowi ini impor2 terus mngkny hutng negara numpuk bnyak
135,2025-07-01T21:24:16Z,@agungpribumi,"Tuh, kan!
Niat ngejebak malah kejebak 😂"
136,2025-07-01T21:12:05Z,@Nokia6Black,seret saja
137,2025-07-01T21:07:12Z,@jamalasong3584,Klo hakim tidak brani tangkap mulyono biar rakyat yg menangkapnya
138,2025-07-01T20:33:55Z,@masakasaljadi,Bukan masalah perintah  impor nya tapi masalah korupsi walau Jokowi benar perintah tapi dia gak korupsi apa salah nya
139,2025-07-01T20:11:51Z,@HeriYanto-m9t2m,Usiuuttt dan adiliiiii jpkowiiiiiiii
140,2025-07-01T20:07:14Z,@HeriYanto-m9t2m,Jokowi biangkerok semua huru hara di ngri ini
141,2025-07-01T19:29:07Z,@zaidanrmd1406,"dulu waktu tom lembong bela anis baswedan ngotot bgt pengin ngancurin anis, sampe tom lembong di jerat kasus skrg ini kn krna campur tangan jkw wktu pemilu kmren lawan prabowo"
142,2025-07-01T19:09:17Z,@repsolhonda879,MUKA MUKA CINDO KEBANYAKAN
143,2025-07-01T19:06:00Z,@DasoenWae-qi3vt,yaiyalah siapa lg coba
144,2025-07-01T18:23:43Z,@buatkuNETT,"Jokowi merasa dirinya hebat, tapi dengarkan Ayat Al-Qur'an ini :
""Dan mereka (orang-orang kafir) membuat tipu daya, dan Allah pun membalas tipu daya (mereka). Allah adalah sebaik-baik pembalas tipu daya."" Ayat ini menegaskan bahwa Allah memiliki kuasa tertinggi dalam membalas segala bentuk tipu daya, dan rencana-Nya lebih sempurna daripada makar siapapun. 
Surah Ali Imran : 54"
145,2025-07-01T18:11:42Z,@wahyudiWirasmono-ej6yv,Setelah dikonfir yg ngasik penugasan paling diputar nggk ada penugasan
146,2025-07-01T18:07:14Z,@enosofyan7850,"Sudah muak gua, sama keluarga si itu tuh"
147,2025-07-01T18:07:03Z,@EvanEvan-p4r,Tom Lembong tidak ada untung secara pribadi malah dijadikan tersangka korupsi 😂
148,2025-07-01T17:56:50Z,@murkasanasan2257,"Tom lembong pasti berani jujur, merapat ke anies pun tau resiko nya"
149,2025-07-01T17:55:38Z,@lucrumart2606,Resfect TOM LEMBONG
150,2025-07-01T17:52:54Z,@YahyaAudio,Apa saya bilang. Dalangnya adalah jokowi lempar batu sembunyi tangan itulah permainan jokowi.
